TIME,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
European Union - 27 countries (from 2020),"60,224,964.74","60,000,636.08","58,264,237.34","58,164,560.58","57,805,339.31","59,830,802.58","61,837,691.27","61,419,999.98","61,718,447.24","61,112,694.44","61,528,507.87","63,144,709.42","63,249,730.72","64,808,735.84","65,606,061.63","65,843,412.34","66,356,741.28","65,421,631.80","65,230,632.85","61,419,329.88","63,955,994.18","61,999,352.62","61,215,555.03","60,582,773.83","58,429,374.13","59,007,812.61","59,558,446.02","60,674,863.94","60,080,449.81","59,322,968.28","55,356,349.64","58,616,779.09","55,220,404.67"
Belgium,"2,000,189.58","2,090,663.58","2,115,929.14","2,063,409.28","2,191,833.16","2,228,642.71","2,345,838.52","2,353,691.23","2,396,413.01","2,397,436.06","2,425,333.84","2,409,583.89","2,330,216.31","2,432,086.13","2,447,198.87","2,433,763.64","2,403,750.31","2,357,359.95","2,431,461.50","2,317,420.90","2,483,324.40","2,310,692.09","2,219,449.95","2,311,640.90","2,189,316.70","2,186,963.15","2,304,581.70","2,296,351.19","2,220,021.41","2,276,853.56","2,103,635.08","2,314,505.25","2,115,570.57"
Bulgaria,"1,170,564.80","937,313.60","855,338.69","917,832.42","888,199.88","964,430.73","958,642.76","872,618.48","837,037.73","763,985.87","776,744.85","809,780.10","789,499.03","808,275.67","787,587.36","832,855.95","858,736.33","844,427.21","829,986.99","729,298.62","743,093.56","796,771.79","763,327.54","708,660.30","741,261.92","774,741.50","757,015.93","782,838.85","778,979.01","771,826.14","735,874.62","800,415.17","809,538.05"
Czechia,"2,083,856.10","1,892,533.76","1,841,359.77","1,782,891.01","1,720,003.62","1,745,360.18","1,796,466.71","1,812,291.81","1,755,305.67","1,637,763.60","1,721,965.18","1,766,907.51","1,790,739.90","1,868,942.13","1,913,251.86","1,893,274.34","1,935,559.76","1,931,053.38","1,894,777.84","1,779,498.81","1,890,465.52","1,813,197.04","1,798,171.78","1,807,132.22","1,746,728.90","1,748,294.85","1,730,954.51","1,804,852.20","1,809,933.17","1,780,049.95","1,683,396.59","1,783,315.17","1,741,716.24"
Denmark,"727,671.74","807,114.97","772,495.49","794,779.49","822,713.50","815,283.07","921,860.56","854,886.12","841,464.71","806,408.19","783,428.01","807,720.18","799,239.59","844,698.06","817,078.31","793,688.91","852,589.03","832,771.94","809,634.66","781,268.97","817,318.23","758,425.69","725,347.39","730,104.59","688,316.61","685,954.30","703,387.42","707,272.63","706,715.09","683,477.35","657,044.11","692,796.63","666,711.41"
Germany,"14,703,424.24","14,401,207.59","14,123,309.36","13,982,452.35","13,910,044.65","14,061,432.02","14,532,439.55","14,408,920.50","14,314,917.25","13,988,883.67","14,059,795.77","14,484,633.77","14,157,475.88","14,193,149.96","14,273,204.14","14,194,556.61","14,620,618.08","13,871,353.60","14,045,636.92","13,124,448.39","13,829,149.05","13,109,201.82","13,206,871.17","13,499,943.82","12,918,503.02","12,982,532.57","13,038,157.34","13,082,287.11","12,771,277.94","12,493,462.40","11,736,893.89","12,155,408.72","11,443,549.60"
Estonia,"448,537.11","415,636.16","265,247.73","224,817.08","251,195.35","234,973.11","245,256.33","236,809.30","218,460.90","206,410.08","196,280.34","207,479.80","193,257.84","207,714.25","224,543.44","227,958.60","225,979.14","264,459.40","231,453.05","184,168.73","246,634.14","239,695.98","218,905.34","244,480.62","231,901.06","201,000.02","250,304.18","245,064.45","236,480.07","202,984.17","187,261.03","191,100.02","200,813.78"
Ireland,"415,100.54","421,596.75","420,456.34","424,762.61","444,924.92","437,031.18","474,982.45","507,875.10","537,110.73","554,976.95","576,674.99","604,104.95","612,721.20","585,451.60","602,171.57","613,488.20","616,221.86","632,925.32","628,968.49","612,239.49","599,671.98","551,877.69","562,709.11","529,947.02","529,890.71","557,678.01","589,519.64","578,266.00","577,740.69","580,437.99","559,928.20","579,509.03","572,012.84"
Greece,"895,215.67","903,536.01","925,713.66","914,994.00","939,397.18","947,151.13","976,859.23","1,017,017.40","1,071,136.07","1,076,151.41","1,133,030.61","1,172,224.03","1,191,650.71","1,223,931.11","1,244,623.06","1,266,997.29","1,265,753.27","1,263,500.09","1,272,992.77","1,234,559.83","1,158,258.00","1,121,970.97","1,113,851.87","979,504.17","972,038.99","974,045.41","953,577.28","980,044.99","952,439.04","938,828.17","841,258.57","871,443.36","865,135.55"
Spain,"3,655,299.22","3,789,951.03","3,856,947.02","3,702,207.18","3,907,922.14","4,212,283.41","4,151,092.36","4,414,850.06","4,635,404.87","4,860,947.09","5,076,129.32","5,210,390.46","5,366,397.11","5,551,681.23","5,795,674.21","5,915,589.34","5,917,341.69","6,003,657.73","5,784,735.93","5,316,863.14","5,317,065.43","5,265,725.46","5,249,368.99","4,901,014.21","4,794,838.71","4,980,382.02","5,012,262.78","5,270,216.18","5,253,873.26","5,105,372.18","4,614,450.44","4,859,969.13","4,849,143.64"
France,"9,341,488.60","9,882,744.76","9,706,723.63","9,865,497.85","9,486,930.57","9,879,801.97","10,438,939.44","10,116,011.19","10,411,542.62","10,396,495.52","10,496,229.66","10,854,360.92","10,881,318.50","11,155,640.53","11,323,799.01","11,376,556.49","11,198,299.60","11,085,591.87","11,148,024.26","10,725,072.68","11,061,532.48","10,845,436.46","10,860,400.94","10,919,674.59","10,491,361.73","10,661,635.93","10,477,806.23","10,475,660.39","10,417,875.79","10,284,150.07","9,252,184.74","10,019,092.79","9,003,217.38"
Croatia,"396,311.78","337,848.49","308,917.90","315,045.30","306,675.48","316,260.63","342,798.91","350,920.10","356,136.35","365,292.30","351,843.06","365,817.22","374,824.98","401,568.05","401,400.27","407,786.08","405,569.71","421,433.37","410,828.79","396,633.97","392,397.46","383,370.68","360,682.51","353,150.65","336,221.42","351,185.00","353,977.33","365,675.87","355,528.58","359,625.74","345,359.84","359,901.36","348,430.06"
Italy,"6,138,567.92","6,289,874.80","6,250,754.65","6,218,065.61","6,139,964.13","6,666,737.87","6,663,254.06","6,759,074.87","6,948,243.82","7,055,205.29","7,189,253.12","7,214,007.93","7,265,678.34","7,612,350.27","7,665,795.68","7,806,211.05","7,734,889.82","7,711,902.89","7,608,931.02","7,099,763.99","7,271,513.69","7,031,404.74","6,754,998.17","6,505,874.89","6,144,961.24","6,387,518.68","6,321,305.43","6,535,322.06","6,412,283.72","6,341,501.17","5,865,727.11","6,383,282.90","6,053,210.18"
Cyprus,"57,349.90","58,440.20","65,898.75","70,758.94","80,931.49","71,174.07","79,249.69","77,451.46","82,947.32","83,320.66","89,674.96","88,716.01","89,979.09","98,012.76","92,199.62","93,865.91","97,623.00","103,127.65","109,719.65","107,493.54","103,677.85","100,645.17","94,723.78","81,892.22","83,875.93","86,019.63","91,631.03","94,615.18","96,648.20","96,929.86","91,598.12","94,276.82","96,561.37"
Latvia,"329,945.63","310,406.60","256,163.19","221,486.12","200,601.78","192,995.47","191,014.29","186,088.46","181,894.44","167,119.40","160,672.08","172,318.48","171,154.83","181,517.41","185,817.12","189,671.20","196,735.75","201,187.42","192,458.67","184,539.28","188,899.76","178,334.93","185,017.01","181,838.52","181,826.18","178,863.03","178,737.52","184,686.62","194,267.36","188,020.21","180,163.47","188,498.16","178,377.48"
Lithuania,"676,574.86","716,572.73","465,611.17","385,707.98","344,403.86","368,998.14","397,871.24","377,196.35","395,491.94","337,632.07","306,733.03","350,344.78","374,954.12","390,947.96","396,126.05","374,149.83","369,268.59","399,331.48","399,985.81","368,722.76","294,463.57","305,239.76","307,968.77","290,836.53","292,353.24","297,378.51","303,967.37","317,691.45","322,677.24","321,497.97","317,295.86","330,180.51","294,356.36"
Luxembourg,"141,477.72","151,076.09","151,552.70","153,684.56","148,278.70","131,295.40","133,179.80","129,530.05","125,037.54","130,328.20","139,655.35","146,944.91","152,601.17","161,013.97","179,186.18","182,920.40","180,834.18","175,799.57","175,848.96","165,311.72","176,387.37","174,435.51","171,179.97","166,059.11","159,770.04","155,773.46","154,186.15","157,263.73","162,903.26","165,175.76","143,271.82","150,685.88","133,150.15"
Hungary,"1,213,376.79","1,158,836.20","1,048,983.05","1,076,976.64","1,042,846.71","1,082,592.75","1,111,926.09","1,090,927.69","1,075,947.50","1,067,933.07","1,046,297.20","1,071,563.90","1,071,536.56","1,094,400.15","1,097,368.31","1,182,758.54","1,169,624.63","1,145,258.15","1,126,278.60","1,072,223.93","1,103,753.40","1,081,446.31","1,030,141.31","994,675.31","990,283.38","1,047,894.42","1,060,406.74","1,106,694.68","1,106,499.75","1,106,408.36","1,090,163.80","1,141,002.24","1,068,928.36"
Malta,"29,070.00","28,161.30","27,884.60","35,631.30","32,382.90","29,936.80","29,510.50","33,142.70","29,199.60","31,843.90","28,568.10","33,264.90","31,013.40","34,918.90","35,065.50","35,475.40","35,490.60","36,224.80","36,831.80","33,663.00","35,029.79","34,823.88","36,905.71","32,530.35","32,667.50","26,871.29","24,883.57","28,700.85","28,882.51","30,833.97","29,387.06","30,185.03","33,080.83"
Netherlands,"2,815,118.51","2,921,827.22","2,892,071.87","2,957,835.98","2,975,589.65","3,064,811.71","3,217,040.42","3,129,300.01","3,152,111.12","3,105,208.20","3,138,707.88","3,222,891.64","3,254,219.62","3,375,095.25","3,404,879.55","3,351,746.88","3,322,423.95","3,308,713.80","3,281,685.63","3,225,981.98","3,464,316.60","3,224,235.47","3,232,000.34","3,166,015.71","2,988,499.92","2,832,107.83","3,012,235.28","2,988,286.49","2,829,605.78","3,027,976.83","2,921,916.07","3,006,786.41","2,678,205.72"
Austria,"1,048,267.25","1,114,217.59","1,069,354.94","1,081,903.19","1,076,510.91","1,123,995.44","1,195,845.28","1,186,277.23","1,206,238.06","1,205,043.27","1,200,272.39","1,267,913.41","1,276,909.83","1,346,581.01","1,361,024.21","1,412,443.83","1,424,302.84","1,397,722.91","1,409,061.53","1,340,280.94","1,430,459.07","1,386,702.10","1,383,375.98","1,401,219.64","1,351,094.64","1,382,815.46","1,399,617.29","1,426,444.98","1,389,381.68","1,415,495.02","1,340,654.78","1,415,318.97","1,331,172.58"
Poland,"4,317,310.12","4,230,966.21","4,127,953.15","4,227,618.54","4,029,228.59","4,166,523.06","4,336,729.05","4,278,628.35","3,988,458.46","3,886,289.67","3,723,619.42","3,750,795.27","3,707,453.62","3,803,612.25","3,818,148.94","3,862,489.25","4,065,447.82","4,048,926.50","4,092,080.45","3,926,092.42","4,232,658.18","4,235,656.49","4,071,837.63","4,101,867.01","3,945,572.68","3,986,642.66","4,182,580.17","4,369,964.74","4,562,365.77","4,395,965.36","4,291,569.18","4,565,269.83","4,340,875.02"
Portugal,"701,924.70","710,655.18","755,659.02","745,435.37","762,727.51","845,059.09","837,634.62","882,716.15","955,662.05","1,027,047.10","1,034,405.71","1,042,757.65","1,087,737.86","1,056,454.69","1,089,568.57","1,117,200.42","1,060,117.28","1,061,553.75","1,034,817.70","1,019,901.65","984,120.18","956,880.81","897,620.19","898,621.70","910,588.73","943,804.00","936,665.90","978,143.66","949,181.64","939,829.70","874,078.36","874,125.65","887,471.99"
Romania,"2,635,342.29","2,165,237.85","1,928,272.96","1,913,516.53","1,803,599.71","1,951,063.55","2,003,890.08","1,879,542.09","1,720,618.42","1,518,047.20","1,533,517.32","1,543,955.65","1,600,192.59","1,666,641.13","1,641,452.53","1,614,449.52","1,672,335.43","1,661,370.91","1,653,169.22","1,450,433.51","1,458,655.78","1,490,755.53","1,459,159.33","1,327,318.93","1,313,761.58","1,324,438.54","1,319,025.79","1,389,961.09","1,400,684.65","1,383,845.47","1,347,083.40","1,432,318.91","1,321,943.64"
Slovenia,"238,918.28","232,959.84","216,021.68","226,626.45","235,831.35","254,220.46","265,015.59","275,470.43","270,294.24","269,696.43","273,647.45","290,860.99","291,341.89","296,183.41","304,681.15","315,678.94","313,516.83","317,101.24","334,219.12","294,557.26","302,533.16","302,242.68","290,615.81","282,896.82","273,324.57","271,032.76","280,051.75","287,877.92","284,913.03","280,378.72","265,044.36","273,573.24","265,720.63"
Slovakia,"891,032.23","799,384.65","756,270.62","742,031.54","728,091.19","742,779.18","755,285.42","756,159.76","733,327.06","737,319.34","741,228.52","773,209.43","778,624.82","775,022.76","763,371.30","781,241.49","774,576.21","741,337.26","761,975.11","696,879.81","769,820.11","746,155.79","722,825.80","728,960.58","673,893.22","703,677.17","709,837.38","747,050.69","732,125.20","710,615.40","687,374.61","743,998.58","694,332.29"
Finland,"1,185,228.17","1,202,048.75","1,131,646.92","1,192,917.89","1,274,240.58","1,210,440.14","1,301,990.17","1,352,156.19","1,364,358.37","1,361,197.04","1,357,222.50","1,392,307.25","1,466,157.64","1,545,903.38","1,562,278.52","1,441,199.83","1,569,097.83","1,543,929.66","1,481,607.71","1,385,932.97","1,517,728.94","1,456,836.27","1,404,897.15","1,381,027.99","1,411,822.40","1,340,718.81","1,390,909.95","1,405,691.66","1,429,007.69","1,397,122.90","1,333,115.09","1,399,754.99","1,338,230.34"
Sweden,"1,967,800.99","2,029,824.21","1,927,699.35","1,925,675.37","2,060,269.83","2,085,529.31","2,133,078.13","2,080,446.92","2,113,687.40","2,074,712.86","1,967,577.24","2,089,854.40","2,142,834.31","2,096,941.82","2,178,566.31","2,125,394.38","2,070,037.78","2,059,609.97","2,043,460.69","1,846,077.60","2,083,066.52","2,097,191.52","2,093,201.52","2,055,885.45","2,034,699.11","1,937,843.62","2,020,860.37","2,067,938.30","2,098,158.30","2,044,303.88","1,860,619.43","1,960,064.37","1,888,948.63"
Iceland,"96,887.44","88,617.35","86,757.16","92,815.40","94,353.02","94,400.21","101,532.27","99,927.59","106,932.30","120,561.69","134,600.74","130,677.84","134,801.16","134,818.16","133,574.19","135,506.29","168,099.81","198,656.80","231,005.45","239,618.91","226,849.79","242,686.71","236,890.60","247,026.53","246,188.92","234,397.47","221,945.19","233,659.90","256,948.99","251,955.85","246,880.48","247,520.68",
Norway,"857,792.29","879,849.42","892,534.72","949,800.12","931,991.44","944,209.24","922,569.88","974,528.14","1,022,494.75","1,069,998.64","1,054,988.22","1,125,816.44","1,038,910.03","1,130,792.82","1,200,397.03","1,227,179.55","1,239,078.88","1,163,978.51","1,290,610.67","1,266,015.83","1,348,023.89","1,175,421.32","1,251,724.94","1,312,567.75","1,205,710.71","1,084,395.44","1,199,103.10","1,264,410.71","1,266,418.77","1,206,490.09","1,193,418.58","1,237,103.37","1,099,213.62"
United Kingdom,"8,604,013.81","8,895,150.34","8,873,642.46","8,955,409.34","9,229,597.89","9,038,055.59","9,425,493.62","9,160,229.55","9,254,770.14","9,278,959.69","9,318,049.35","9,356,394.97","9,227,508.11","9,407,480.40","9,284,958.20","9,317,406.14","9,165,315.39","8,849,417.32","8,719,801.65","8,067,502.00","8,460,348.63","7,803,615.95","7,992,200.46","7,856,035.85","7,395,228.91","7,536,386.19","7,426,098.09","7,309,016.91","7,286,053.27","7,140,180.78",,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,"251,141.95","258,608.77","282,886.42","282,356.34","312,777.86","302,321.37","297,446.14","308,136.48",
Montenegro,,,,,,,,,,,,,,,,"42,999.11","47,569.19","47,407.67","51,002.38","40,294.84","47,180.76","47,027.96","44,265.93","41,086.01","40,027.54","41,866.94","40,601.22","42,543.02","43,976.37","45,512.07","42,600.03","45,229.78",
Moldova,,,,,,,,,,,,,,,,,,,,,"105,496.38","107,424.08","105,089.84","106,283.02","107,273.95","107,920.45","112,006.64","117,316.67","122,618.34","116,687.93","112,873.08","124,108.43",
North Macedonia,"103,016.49","101,137.52","112,577.10","115,214.53","103,740.08","104,828.58","119,543.49","108,742.76","120,941.82","113,587.82","111,744.09","107,938.13","105,979.21","116,272.51","115,277.59","122,113.06","123,980.19","129,499.06","126,694.45","117,824.79","120,334.39","130,553.62","125,442.07","116,069.70","112,826.83","110,806.65","112,616.56","114,817.97","107,538.57","118,653.73","108,033.20","111,440.92",
Albania,"111,912.62","78,330.64","56,865.71","55,731.19","59,302.66","55,696.14","59,441.03","50,735.64","55,949.43","75,587.57","75,619.29","77,107.42","85,363.05","83,381.80","91,654.14","91,781.26","89,434.67","85,285.57","88,481.35","90,089.72","89,376.81","93,146.55","83,843.50","98,127.27","98,269.10","91,948.41","94,818.01","99,142.99","98,789.01","97,685.81","90,721.57","95,509.44",
Serbia,"818,325.88","693,571.20","638,939.19","544,071.89","501,205.60","569,198.08","683,440.11","723,353.49","720,469.85","523,304.25","566,916.10","617,360.17","658,780.11","692,493.81","755,772.17","669,807.22","712,260.39","693,041.12","704,341.38","635,882.34","651,638.53","681,449.32","609,874.67","623,652.81","556,312.38","617,313.71","641,124.82","653,795.38","644,261.91","639,530.14","664,722.52","675,141.04",
Türkiye,"2,160,594.61","2,138,789.65","2,224,625.49","2,362,159.03","2,330,045.49","2,550,683.77","2,790,678.87","2,932,930.74","2,964,706.78","2,918,963.02","3,213,647.92","2,951,326.77","3,111,201.95","3,294,112.46","3,385,612.22","3,523,780.37","3,887,886.05","4,196,862.97","4,109,091.62","4,114,042.40","4,359,639.92","4,674,513.03","4,890,656.85","4,728,267.43","5,006,819.47","5,387,779.16","5,697,509.92","6,144,793.36","6,036,731.08","6,096,217.19","6,118,358.82","6,658,315.33",
Ukraine,"10,542,613.59","10,560,132.47","9,185,942.98","8,136,233.65","6,933,671.18","6,846,627.47","6,270,943.71","5,999,831.29","5,673,678.77","5,647,513.47","5,593,835.77","5,606,612.00","5,669,427.57","5,885,863.47","5,932,207.86","5,897,320.77","5,664,430.59","5,837,814.31","5,640,458.66","4,799,056.00","5,548,399.67","5,301,325.30","5,132,873.64","4,867,504.48","4,427,951.13","3,893,310.80","3,839,563.81","3,747,882.07","3,916,777.45","3,748,028.50","3,623,718.54",,
Kosovo*,,,,,,,,,,,"64,791.00","79,771.27","79,431.18","83,622.97","84,094.71","81,629.96","82,495.44","85,790.29","92,907.99","102,237.11","104,840.61","105,847.82","99,186.86","96,120.64","92,742.90","105,518.72","113,021.76","107,293.14","108,097.32","111,637.72","111,492.66","120,812.50",
Georgia,,,,,,,,,,,,,,,,,,,,,,,,"174,155.52","185,902.34","196,390.98","202,959.16","204,903.96","203,123.53","213,569.66","206,889.27","221,412.48",
